name,booth,website,address,overview,country,email,phone,halls,portal_url,portal_status,ebooth_url,source
3D Glass Solutions,1014,https://Boothurl.aspx?BoothID=696000,,,,,150-591-6559-0,633|634,https://portal2026.semiconindia.org/co/3d-glass-solutions,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=0&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696000&Nav=False,eventmap
3M INDIA LIMITED,H3621,https://eBooth.aspx?BoothID=694662&Task=PressReleases&SSID=13356,"BEARING NO 61 PID NO 76 20 61, Shanthala Nagar, MARKSQUARE",,MARKSQUARE,,3621 3,633|634,https://portal2026.semiconindia.org/co/3m-india-limited,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=1&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=694662&Nav=False,eventmap
ABB India Limited,427,https://Boothurl.aspx?BoothID=696323,"Disha – 1st floor, Plot No. 5&6, 2nd stage,",,,,97-401-657-90,633|634,https://portal2026.semiconindia.org/co/abb-india-limited,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=2&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696323&Nav=False,eventmap
ABLROOTS INDUSTRIES PVT PTD,H3518,https://Boothurl.aspx?BoothID=696476,Plot No A 16 Gali No 10 Shyam Vihar,"ABL is a distributor for Pall Corporation, a global leader in filtration, separation, and purification technologies,",,,91-991-002-2939,633|634,https://portal2026.semiconindia.org/co/ablroots-industries-pvt-ptd,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=3&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696476&Nav=False,eventmap
ABV ENGINEERS AND CONSULTANTS PVT LTD,H7608,https://Boothurl.aspx?BoothID=697142,PLOT NO 131,,,,,633|634,https://portal2026.semiconindia.org/co/abv-engineers-and-consultants-pvt-ltd,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=4&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697142&Nav=False,eventmap
AC&C Technology Pte Ltd,1137,https://Boothurl.aspx?BoothID=698092,,,,,,633|634,https://portal2026.semiconindia.org/co/ac&c-technology-pte-ltd,404,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=5&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698092&Nav=False,eventmap
Accurex Solutions Pvt. Ltd,H6802,https://Boothurl.aspx?BoothID=696184,,,,,,633|634,https://portal2026.semiconindia.org/co/accurex-solutions-pvt.-ltd,404,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=6&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696184&Nav=False,eventmap
ACM Research Inc.,H5616,https://Boothurl.aspx?BoothID=696380,,,,,,633|634,https://portal2026.semiconindia.org/co/acm-research-inc.,404,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=7&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=696380&Nav=False,eventmap
Adaptsys Limited,556,https://Boothurl.aspx?BoothID=700934,United Kingdom,"For over 20 years, Adaptsys have been a global leader in distribution and manufacturing. We are passionate about delivering cutting-edge solutions, putting our customers on the ...",United Kingdom,,+447743847137,633|634,https://portal2026.semiconindia.org/co/adaptsys-limited,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=8&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=700934&Nav=False,eventmap
Addverb Technologies,1446,https://Boothurl.aspx?BoothID=664814,"Plot No. 5, Sector-156, Phase-II,",,,,,633|634,https://portal2026.semiconindia.org/co/addverb-technologies,slug-guessed,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=9&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664814&Nav=False,eventmap
Advance Panels & Switchgears P Ltd,H6608,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=10&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=701211&Nav=False,eventmap
ADVANCED EXPERTISE TECHNOLOGY PVT. LTD.,1478,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=11&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=665586&Nav=False,eventmap
ADVANCED SEMICONDUCTOR EQUIPMENT TECHNOLOGY SINGAPORE,1241,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=12&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=698104&Nav=False,eventmap
ADVANCED SYSTEM IN PACKAGE TECHNOLOGIES,760,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=13&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=697553&Nav=False,eventmap
Advantec Materials India Pvt Ltd,580,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=14&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=693520&Nav=False,eventmap
Advantest (Singapore) Pte. Ltd.,434,,,,,,,633|634,,,https://expo.semi.org/india2026/Public/eBooth.aspx?IndexInList=15&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=664989&Nav=False,eventmap
